state,count,latitude,longitude
AL,5,32.318231,-86.902298
AK,0,63.588753,-154.493062
AZ,3,34.048928,-111.093731
AR,2,35.20105,-91.831833
CA,2,36.778261,-119.417932
CO,0,39.550051,-105.782067
CT,2,41.603221,-73.087749
DE,0,38.910832,-75.52767
FL,4,27.664827,-81.515754
GA,4,32.157435,-82.907123
HI,0,19.898682,-155.665857
ID,0,44.068202,-114.742041
IL,11,40.633125,-89.398528
IN,0,40.551217,-85.602364
IA,1,41.878003,-93.097702
KS,1,39.011902,-98.484246
KY,0,37.839333,-84.270018
LA,2,31.244823,-92.145024
ME,0,45.253783,-69.445469
MD,2,39.045755,-76.641271
MA,0,42.407211,-71.382437
MI,4,44.314844,-85.602364
MN,3,46.729553,-94.6859
MS,1,32.354668,-89.398528
MO,1,37.964253,-91.831833
MT,0,46.879682,-110.362566
NE,1,41.492537,-99.901813
NV,0,38.80261,-116.419389
NH,1,43.193852,-71.572395
NJ,3,40.058324,-74.405661
NM,0,34.97273,-105.032363
NY,5,43.299428,-74.217933
NC,5,35.759573,-79.0193
ND,0,47.551493,-101.002012
OH,2,40.417287,-82.907123
OK,0,35.007752,-97.092877
OR,0,43.804133,-120.554201
PA,6,41.203322,-77.194525
RI,0,41.580095,-71.477429
SC,7,33.836081,-81.163725
SD,0,43.969515,-99.901813
TN,4,35.517491,-81.163725
TX,4,31.968599,-99.901813
UT,0,39.32098,-111.093731
VT,0,44.558803,-72.577841
VA,4,37.431573,-78.656894
WA,1,47.751074,-120.740139
WV,0,38.597626,-80.454903
WI,2,43.78444,-88.787868
WY,0,43.075968,-107.290284